Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TST_LauncherActivity,,his Test Suites is aimed to execute all the test cases that verfies the Order/Features/Contents of the LauncherActivity.,2019-01-23 21:45:46,2019-01-23 21:49:56,4m - 9.146s,PASSED
,,,,,,
Test Cases/TCF_LauncherActivity/TCS_LauncherActivity_Screen01_DreamsLogoVerification,,Verify that Spash image (Dream Icon) shown at app launch.,2019-01-23 21:45:47,2019-01-23 21:46:22,35.604s,PASSED
"startApplication(""/Users/vibhakarsaraswat/Documents/devlernings/apks_and_ipas/Android-APKs/com.getdreams_2019-01-14.apk"", true)",,,2019-01-23 21:45:47,2019-01-23 21:46:13,26.271s,PASSED
"verifyElementExist(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen01_DreamsLogo/android.widget.ImageView0""), 15)",,,2019-01-23 21:46:13,2019-01-23 21:46:19,6.041s,PASSED
closeApplication(),,,2019-01-23 21:46:19,2019-01-23 21:46:22,2.852s,PASSED
,,,,,,
Test Cases/TCF_LauncherActivity/TCS_LauncherActivity_Screen02_DreamsHelpYou_TextAndImageVerification,,Verify that Intro images and Text are shown (and shown in correct order).,2019-01-23 21:46:22,2019-01-23 21:47:08,45.939s,PASSED
"startApplication(""/Users/vibhakarsaraswat/Documents/devlernings/apks_and_ipas/Android-APKs/com.getdreams_2019-01-14.apk"", true)",,,2019-01-23 21:46:23,2019-01-23 21:46:49,25.938s,PASSED
delay(15),,,2019-01-23 21:46:49,2019-01-23 21:47:04,15.073s,PASSED
"verifyElementText(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.TextView0 - Dreams help you save money to reach your dreams""), ""Dreams help you save money to reach your dreams"", CONTINUE_ON_FAILURE)",,,2019-01-23 21:47:04,2019-01-23 21:47:04,0.255s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.ImageView0""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:47:04,2019-01-23 21:47:04,0.204s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.ImageView1""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:47:04,2019-01-23 21:47:04,0.220s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.Button0 - NEXT""), 0)",,,2019-01-23 21:47:04,2019-01-23 21:47:06,1.635s,PASSED
"verifyElementText(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen03_TheAppMake/android.widget.TextView0 - The app makes saving fun easy and efficient""), ""The app makes saving fun, easy and efficient"", CONTINUE_ON_FAILURE)",,,2019-01-23 21:47:06,2019-01-23 21:47:06,0.304s,PASSED
closeApplication(),,,2019-01-23 21:47:06,2019-01-23 21:47:08,1.901s,PASSED
,,,,,,
Test Cases/TCF_LauncherActivity/TCS_LauncherActivity_Screen03_TheAppMake_TextAndImageVerification,,Verify that Intro images and Text are shown (and shown in correct order).,2019-01-23 21:47:08,2019-01-23 21:47:56,47.525s,PASSED
"startApplication(""/Users/vibhakarsaraswat/Documents/devlernings/apks_and_ipas/Android-APKs/com.getdreams_2019-01-14.apk"", true)",,,2019-01-23 21:47:09,2019-01-23 21:47:33,24.669s,PASSED
delay(15),,,2019-01-23 21:47:33,2019-01-23 21:47:48,15.007s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.Button0 - NEXT""), 10)",,,2019-01-23 21:47:48,2019-01-23 21:47:50,1.582s,PASSED
